Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,154.0,154.0,154.0,154.0
150,154.0,154.65,154.22,154.64583333333334
300,154.0,155.29,154.48,155.29166666666666
450,154.01,155.94,154.76,155.9375
600,154.02,156.58,155.06,156.58333333333334
750,154.06,157.23,155.38,157.22916666666666
900,154.11,157.88,155.71,157.875
1050,154.18,158.52,156.05,158.52083333333334
1200,154.27,159.17,156.41,159.16666666666666
1350,154.39,159.81,156.77,159.8125
1500,154.52,160.46,157.15,160.45833333333334
1650,154.67,161.1,157.54,161.10416666666666
1800,154.84,161.75,157.93,161.75
1950,155.03,162.4,158.34,162.39583333333334
2100,155.23,163.04,158.76,163.04166666666666
2250,155.45,163.69,159.18,163.6875
2400,155.69,164.33,159.61,164.33333333333334
2550,155.94,164.98,160.05,164.97916666666666
2700,156.21,165.63,160.5,165.625
2850,156.49,166.27,160.95,166.27083333333334
3000,156.79,166.92,161.42,166.91666666666666
3150,157.1,167.56,161.89,167.5625
3300,157.42,168.21,162.36,168.20833333333334
3450,157.75,168.85,162.85,168.85416666666666
3600,158.1,169.5,163.33,169.5
3750,158.45,170.15,163.83,170.14583333333334
3900,158.82,170.79,164.33,170.79166666666666
4050,159.2,171.44,164.84,171.4375
4200,159.59,172.08,165.35,172.08333333333334
4350,159.98,172.73,165.86,172.72916666666666
4500,160.39,173.38,166.38,173.375
4650,160.81,174.02,166.91,174.02083333333334
4800,161.23,174.67,167.44,174.66666666666666
4950,161.67,175.31,167.97,175.3125
5100,162.11,175.96,168.51,175.95833333333334
5250,162.56,176.6,169.06,176.60416666666666
5400,163.01,177.25,169.6,177.25
5550,163.48,177.9,170.15,177.89583333333334
5700,163.95,178.54,170.71,178.54166666666666
5850,164.42,179.19,171.27,179.1875
6000,164.91,179.83,171.83,179.83333333333334
6150,165.4,180.48,172.39,180.47916666666663
6300,165.89,181.13,172.96,181.125
6450,166.39,181.77,173.53,181.77083333333331
6600,166.9,182.42,174.1,182.41666666666663
6750,167.41,183.06,174.68,183.0625
6900,167.93,183.71,175.25,183.70833333333331
7050,168.45,184.35,175.84,184.35416666666663
7200,168.98,185.0,176.42,185.0
7350,169.51,185.65,177.0,185.64583333333331
7500,170.04,186.29,177.59,186.29166666666663
7650,170.58,186.94,178.18,186.9375
7800,171.13,187.58,178.78,187.58333333333331
7950,171.67,188.23,179.37,188.22916666666663
8100,172.22,188.88,179.97,188.875
8250,172.78,189.52,180.56,189.52083333333331
8400,173.34,190.17,181.16,190.16666666666663
8550,173.9,190.81,181.77,190.8125
8700,174.46,191.46,182.37,191.45833333333331
8850,175.03,192.1,182.97,192.10416666666663
9000,175.6,192.75,183.58,192.75
9150,176.17,193.4,184.19,193.39583333333331
9300,176.75,194.04,184.8,194.04166666666663
9450,177.33,194.69,185.41,194.6875
9600,177.91,195.33,186.02,195.33333333333331
9750,178.49,195.98,186.63,195.97916666666663
9900,179.08,196.63,187.25,196.625
10050,179.67,197.27,187.86,197.27083333333331
10200,180.26,197.92,188.48,197.91666666666663
10350,180.85,198.56,189.1,198.5625
10500,181.45,199.21,189.72,199.20833333333331
10650,182.02,199.85,190.32,199.85416666666663
10800,182.59,200.5,190.92,200.5
10950,183.16,201.15,191.52,201.14583333333331
11100,183.73,201.79,192.13,201.79166666666663
11250,184.3,202.44,192.73,202.4375
11400,184.88,203.08,193.34,203.08333333333331
11550,185.45,203.73,193.95,203.72916666666663
11700,186.03,204.38,194.56,204.375
11850,186.61,205.02,195.17,205.02083333333331
12000,187.2,205.67,195.78,205.66666666666663
12150,187.78,206.31,196.4,206.3125
12300,188.37,206.96,197.01,206.95833333333331
12450,188.96,207.6,197.63,207.60416666666663
12600,189.55,208.25,198.25,208.25
12750,190.14,208.9,198.87,208.89583333333331
12900,190.74,209.54,199.49,209.54166666666663
13050,191.34,210.19,200.11,210.1875
13200,191.94,210.83,200.73,210.83333333333331
13350,192.54,211.48,201.35,211.47916666666663
13500,193.14,212.13,201.97,212.125
13650,193.74,212.77,202.6,212.77083333333331
13800,194.35,213.42,203.22,213.41666666666663
13950,194.95,214.06,203.85,214.0625
14100,195.56,214.71,204.47,214.70833333333331
14250,196.17,215.35,205.1,215.35416666666663
14400,196.78,216.0,205.73,216.0
